average_entropy,average_policy_loss,average_value,average_value_loss,eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,explained_variance,fps,n_updates,num_ppo_update,steps,total_steps
2.7080498,-0.0010051100980490446,-0.02438948,0.688330139964819,82.91304347826087,-2.0434783,80.66666666666667,-1.7142857,-0.00018986446888713537,808,24,1.0,256,2048
2.7075377,-0.0020694875565823168,-0.19332108,0.42822799117614824,82.3695652173913,-1.8695652,80.3695652173913,-2.5869565,-0.004425950939385137,814,48,2.0,512,4096
2.697249,-0.003068031697896206,-0.3217572,0.33682551742013955,80.04166666666667,-1.8888888,81.49295774647888,-2.8450704,0.019880518486168453,816,72,3.0,768,6144
2.6992154,-0.003622496641279819,-0.19153091,0.2936087796309342,83.73404255319149,-1.7340425,82.54736842105264,-2.9789474,0.03888154214716255,816,96,4.0,1024,8192
2.670716,-0.005680298334918916,-0.36422044,0.1721914894133806,83.48,-1.78,80.42,-3.24,0.09576714209069459,815,120,5.0,1280,10240
2.6512425,-0.004638535352423787,-0.43856263,0.16150663264095783,80.96,-1.61,80.85,-2.96,0.11156899780661822,798,144,6.0,1536,12288
2.6561875,-0.005913552390411496,-0.51750916,0.15381314940750598,82.07,-1.59,80.25,-2.73,0.22833736604342592,772,168,7.0,1792,14336
2.6806357,-0.005394284101203084,-0.4097975,0.1391545594483614,77.34,-1.55,80.67,-2.58,0.3426749813223954,765,192,8.0,2048,16384
2.6781588,-0.004123261803761125,-0.32278296,0.1886085257679224,78.19,-1.63,82.02,-2.38,0.280564638179189,784,216,9.0,2304,18432
2.6855423,-0.005001884177327156,-0.32619318,0.16110735330730677,75.56,-1.74,81.53,-2.47,0.3548590891029376,797,240,10.0,2560,20480
2.6781726,-0.0057889954000711445,-0.24461572,0.16217009853571654,77.55,-2.06,81.46,-2.23,0.2895041103430763,806,264,11.0,2816,22528
2.6549926,-0.007733549689874053,-0.39293888,0.15929254546761512,76.89,-2.14,80.08,-2.1,0.5527631405314531,809,288,12.0,3072,24576
2.674845,-0.010311801610514522,-0.19835317,0.12685770332813262,77.26,-2.15,81.37,-2.34,0.3424020667383212,810,312,13.0,3328,26624
2.6609788,-0.011466408539563417,-0.20891015,0.11613313842564821,79.94,-2.15,85.28,-2.39,0.4256274764674739,818,336,14.0,3584,28672
2.6615908,-0.012387765161693097,-0.10920099,0.11685869090259075,81.53,-2.1,84.99,-2.49,0.37626829454294963,801,360,15.0,3840,30720
2.635703,-0.01378406623378396,-0.20071723,0.12395237166434526,80.86,-2.23,83.42,-1.9,0.5006548995078186,807,384,16.0,4096,32768
2.6421363,-0.014363201041705907,-0.2494308,0.11075868751853704,79.02,-1.92,82.44,-1.5,0.4987379459676675,806,408,17.0,4352,34816
2.642285,-0.014934702203609049,-0.21665622,0.11325432926416397,76.37,-1.97,85.68,-1.73,0.22093480962293666,807,432,18.0,4608,36864
2.6412392,-0.017224583090282977,-0.24299607,0.10450319156050682,73.43,-1.55,84.17,-1.59,0.5341074920190584,811,456,19.0,4864,38912
2.6217768,-0.017657754118554293,-0.16614331,0.0912686424702406,73.59,-0.57,83.08,-2.11,0.38588400039198756,804,480,20.0,5120,40960
2.59325,-0.01770025283098221,-0.26907888,0.0807433856651187,74.36,-0.47,83.32,-2.34,0.3186193809090567,810,504,21.0,5376,43008
2.5842693,-0.01754622722044587,-0.25262308,0.07279212616384029,74.25,-0.61,78.3,-1.99,0.6450904166676349,809,528,22.0,5632,45056
2.5639741,-0.018442959487438203,-0.30538803,0.06932232473045588,75.81,-0.87,76.0,-1.72,0.45545494635633454,806,552,23.0,5888,47104
2.5405455,-0.021838756473734976,-0.22627532,0.06638199549168348,74.11,-0.91,75.68,-1.52,0.391834474028373,805,576,24.0,6144,49152
2.5163314,-0.02405250206589699,-0.18137188,0.06670090448111296,75.31,-0.88,74.81,-1.59,0.5250559248822919,802,600,25.0,6400,51200
2.5147922,-0.02482625615550205,-0.22389643,0.07568209055811166,76.4,-0.67,77.58,-1.42,0.48215444835673493,803,624,26.0,6656,53248
2.4969451,-0.024778188995551318,-0.026490547,0.08950565561652184,73.94,-0.92,80.95,-1.41,0.39898127658953,814,648,27.0,6912,55296
2.5512338,-0.02440283489180729,-0.3318934,0.09186991099268198,73.44,-0.92,81.85,-1.28,0.4894784108239839,813,672,28.0,7168,57344
2.5001738,-0.022869267005007715,-0.44299915,0.09265282474458218,76.86,-1.09,81.17,-1.15,0.5771505288538646,810,696,29.0,7424,59392
2.5019414,-0.021931727030314506,-0.15112092,0.0816767749004066,76.9,-0.89,82.83,-1.35,0.5299602076331209,808,720,30.0,7680,61440
2.5035539,-0.021151473172940315,-0.26385987,0.06892832627519965,79.59,-0.67,80.74,-1.35,0.3654504107005596,805,744,31.0,7936,63488
2.4566925,-0.024886922487057747,-0.11734459,0.06184620616957545,83.54,-0.72,82.48,-1.35,0.3388487070654599,803,768,32.0,8192,65536
2.5074515,-0.0258448674576357,-0.18052636,0.061310957949608565,78.81,-0.53,85.9,-1.18,0.5449310372189836,804,792,33.0,8448,67584
2.4576144,-0.027343916017562152,-0.07786521,0.07589905539527536,83.8,-0.77,84.09,-0.95,0.39924336798608995,805,816,34.0,8704,69632
2.4811323,-0.027061813287436964,-0.053264808,0.07610476277768612,86.22,-0.73,83.59,-1.12,0.3589696210098583,811,840,35.0,8960,71680
2.5235322,-0.024834502665326,-0.09217182,0.08211289528757333,83.38,-0.82,79.79,-1.04,0.4921495847299051,812,864,36.0,9216,73728
2.5347447,-0.027084226608276366,-0.16554831,0.08398767285048962,84.31,-0.81,78.64,-1.3,0.30612356840270516,805,888,37.0,9472,75776
2.532537,-0.02407680475153029,0.00097479246,0.07368543390184641,75.67,-0.68,77.14,-1.58,0.3534581517443608,801,912,38.0,9728,77824
